Date,Value,Customer_Profile,Product_Preference,Campaign_Success,Channel_Performance
2010-01-01,27.64052345967664,Low,B,0,Social Media
2010-01-02,16.511799827939797,Low,A,0,Email
2010-01-03,24.137770662002154,Low,B,0,Ads
2010-01-04,37.43893493061724,Medium,A,0,Email
2010-01-05,33.04518717469571,Medium,C,1,Email
2010-01-06,2.7760923780816658,Low,B,0,Email
2010-01-07,19.559319222459663,Medium,C,1,Ads
2010-01-08,6.054847852545554,High,B,0,Social Media
2010-01-09,4.71664554164875,Low,A,1,Ads
2010-01-10,9.1959945755601,High,B,0,Email
2010-01-11,7.211628415161806,High,B,0,Email
2010-01-12,22.155240708883504,High,C,0,Ads
2010-01-13,17.733531159307553,Low,B,0,Ads
2010-01-14,13.849710305469799,Low,C,0,Ads
2010-01-15,18.91060496298592,Low,B,0,Email
2010-01-16,18.48675673280874,High,A,1,Social Media
2010-01-17,29.428837627951765,Low,A,0,Ads
2010-01-18,10.614578664845947,Low,A,1,Ads
2010-01-19,13.305982158740639,High,A,0,Ads
2010-01-20,-0.8552453573419045,High,C,1,Email
2010-01-21,-19.662621055755178,Medium,B,1,Social Media
2010-01-22,11.746209979674465,High,A,1,Social Media
2010-01-23,14.537139925936234,Medium,C,0,Email
2010-01-24,0.3135898048834349,Low,C,0,Ads
2010-01-25,32.94385405431069,Medium,C,0,Social Media
2010-01-26,-1.7879651974937207,High,C,0,Ads
2010-01-27,15.05113791260227,Medium,A,0,Email
2010-01-28,13.398183504956092,Medium,A,0,Ads
2010-01-29,29.934276954160104,High,B,0,Email
2010-01-30,27.47703814152964,Medium,B,0,Email
2010-01-31,11.84164949608957,Low,C,0,Email
2010-02-01,11.584630320708385,Medium,A,1,Email
2010-02-02,-2.892135619873817,Low,C,1,Email
2010-02-03,-14.477924213559469,Low,C,1,Ads
2010-02-04,2.5352433865369406,High,B,1,Ads
2010-02-05,9.421465054779581,High,C,0,Email
2010-02-06,22.672368525827572,Medium,A,0,Ads
2010-02-07,24.902220454895104,Medium,C,1,Social Media
2010-02-08,10.841862958414495,High,C,0,Ads
2010-02-09,12.367001071295743,High,A,0,Email
2010-02-10,4.239391365746155,Medium,C,1,Ads
2010-02-11,-1.299440773800331,Low,A,0,Social Media
2010-02-12,-6.65365656713937,Medium,B,1,Social Media
2010-02-13,27.428053155947936,High,C,0,Email
2010-02-14,1.007646504211758,High,B,0,Email
2010-02-15,1.0693158702895946,High,B,1,Social Media
2010-02-16,-6.392000070196256,Medium,C,1,Ads
2010-02-17,15.755615260873288,Low,A,0,Email
2010-02-18,-5.646362856635257,Medium,A,0,Social Media
2010-02-19,10.873748592999632,High,A,0,Social Media
2010-02-20,5.882042201695025,Low,A,0,Email
2010-02-21,19.37905815316485,High,B,1,Ads
2010-02-22,9.735304138833833,Medium,C,0,Social Media
2010-02-23,1.2117039287432725,High,C,1,Ads
2010-02-24,10.244093160056725,Medium,B,0,Social Media
2010-02-25,12.320912978882902,Medium,A,0,Email
2010-02-26,6.887788722938405,Medium,C,0,Ads
2010-02-27,8.594798255831105,Medium,C,1,Ads
2010-02-28,-0.08567704857738434,Low,C,0,Ads
2010-03-01,4.476037364443949,Low,A,1,Email
2010-03-02,3.8911650366161483,Medium,B,1,Email
2010-03-03,9.528348216280484,Low,A,1,Email
2010-03-04,6.82681996193871,Low,B,1,Ads
2010-03-05,-1.6327902255300266,High,C,1,Social Media
2010-03-06,16.736049728052407,Low,C,1,Ads
2010-03-07,9.117502597454049,Low,C,0,Email
2010-03-08,-5.659197916301858,Medium,C,1,Ads
2010-03-09,12.78271289086328,High,B,0,Ads
2010-03-10,-2.7319172546523163,High,C,0,Social Media
2010-03-11,6.209555602733378,Low,B,1,Social Media
2010-03-12,13.670041574738317,Low,C,0,Social Media
2010-03-13,9.516016435521182,Low,A,1,Ads
2010-03-14,22.132930249036946,Medium,A,1,Social Media
2010-03-15,0.8983490720815723,Low,A,1,Ads
2010-03-16,19.103272449906775,Low,C,1,Ads
2010-03-17,8.901935537293205,Low,B,0,Social Media
2010-03-18,6.37224789819879,High,B,0,Ads
2010-03-19,7.464100520129372,Low,C,0,Social Media
2010-03-20,7.644130348823588,Low,B,1,Ads
2010-03-21,8.833840813080325,Medium,C,0,Social Media
2010-03-22,-5.191980415268293,High,B,1,Social Media
2010-03-23,14.818390854955329,High,C,1,Email
2010-03-24,11.157354121175807,High,C,0,Ads
2010-03-25,-7.01351025039933,High,B,0,Social Media
2010-03-26,25.74459922334451,Medium,B,1,Ads
2010-03-27,32.32822548616953,Low,A,1,Ads
2010-03-28,26.989223291855907,Medium,C,1,Email
2010-03-29,14.070786763181992,High,B,1,Email
2010-03-30,4.491122553549564,Low,A,0,Email
2010-03-31,23.91439866506607,Low,B,1,Email
2010-04-01,6.844756325168274,Low,B,1,Email
2010-04-02,20.613936144007052,Low,C,0,Ads
2010-04-03,8.660721090646932,Low,B,0,Email
2010-04-04,15.696542665189952,Medium,A,1,Email
2010-04-05,10.185989172076455,Medium,A,1,Social Media
2010-04-06,15.53739855843541,Low,A,0,Ads
2010-04-07,11.090231365696956,Medium,A,0,Social Media
2010-04-08,31.35076412040918,Low,C,1,Social Media
2010-04-09,16.59211833518798,Low,B,1,Ads
2010-04-10,20.009925456066515,High,A,1,Ads
2010-04-11,34.148583412614485,Low,C,1,Ads
2010-04-12,0.009574033132828674,Low,B,1,Email
2010-04-13,-1.7114540558498348,Medium,C,1,Ads
2010-04-14,18.200751566457,Low,C,0,Social Media
2010-04-15,-5.034807709406832,Low,B,1,Email
2010-04-16,25.48639244607736,Medium,C,0,Ads
2010-04-17,2.607732574123906,High,A,0,Social Media
2010-04-18,1.1198600048912333,High,C,0,Social Media
2010-04-19,30.337805286467894,High,A,0,Social Media
2010-04-20,28.41993155535235,High,C,1,Social Media
2010-04-21,34.12015512545901,High,C,1,Social Media
2010-04-22,25.170473130398214,Low,B,0,Email
